record_type,record_type_display_name,subrecords,subrecord_display_names,field,field_display_name,required
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,end_date_expression,End Date Expression,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,end_date_standardized,End Date Standardized,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,end_date_standardized_type,End Date Standardized Type,n
agent_person,Person,related_agents,Related Agents,relationship_uri,Relationship Uri,n
agent_person,Person,related_agents,Related Agents,specific_relator,Specific Relator,n
agent_person,Person,related_agents,Related Agents,description,Description,n
agent_person,Person,related_agents,Related Agents,relator,Relator,if optional subrecord populated
agent_person,Person,related_agents,Related Agents,ref,Ref,if optional subrecord populated
agent_person,Person,related_agents/dates,Related Agents/Dates,date_label,Date Label,if optional subrecord populated
agent_person,Person,related_agents/dates,Related Agents/Dates,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,related_agents/dates,Related Agents/Dates,date_certainty,Date Certainty,n
agent_person,Person,related_agents/dates,Related Agents/Dates,date_era,Date Era,n
agent_person,Person,related_agents/dates,Related Agents/Dates,date_calendar,Date Calendar,n
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_expression,Date Expression,n
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_standardized,Date Standardized,n
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_standardized_type,Date Standardized Type,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,begin_date_expression,Begin Date Expression,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,begin_date_standardized,Begin Date Standardized,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,begin_date_standardized_type,Begin Date Standardized Type,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,end_date_expression,End Date Expression,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,end_date_standardized,End Date Standardized,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,end_date_standardized_type,End Date Standardized Type,n
agent_person,Person,related_agents,Related Agents,relationship_uri,Relationship Uri,n
agent_person,Person,related_agents,Related Agents,specific_relator,Specific Relator,n
agent_person,Person,related_agents,Related Agents,description,Description,n
agent_person,Person,related_agents,Related Agents,relator,Relator,if optional subrecord populated
agent_person,Person,related_agents,Related Agents,ref,Ref,if optional subrecord populated
agent_person,Person,related_agents/dates,Related Agents/Dates,date_label,Date Label,if optional subrecord populated
agent_person,Person,related_agents/dates,Related Agents/Dates,date_type_structured,Date Type Structured,if optional subrecord populated
agent_person,Person,related_agents/dates,Related Agents/Dates,date_certainty,Date Certainty,n
agent_person,Person,related_agents/dates,Related Agents/Dates,date_era,Date Era,n
agent_person,Person,related_agents/dates,Related Agents/Dates,date_calendar,Date Calendar,n
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_role,Date Role,if optional subrecord populated
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_expression,Date Expression,n
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_standardized,Date Standardized,n
agent_person,Person,related_agents/dates/structured_date_single,Related Agents/Dates/Structured Date Single,date_standardized_type,Date Standardized Type,n
agent_person,Person,related_agents/dates/structured_date_range,Related Agents/Dates/Structured Date Range,begin_date_expression,Begin Date Expression,n
